"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nivell acadèmic","Nombre"
2016,1,"Ciutat Vella",1,"el Raval","Home","Sense estudis",301
2016,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Sense estudis",100
2016,1,"Ciutat Vella",3,"la Barceloneta","Home","Sense estudis",181
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Sense estudis",120
2016,2,"Eixample",5,"el Fort Pienc","Home","Sense estudis",140
2016,2,"Eixample",6,"la Sagrada Família","Home","Sense estudis",285
2016,2,"Eixample",7,"la Dreta de l'Eixample","Home","Sense estudis",74
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Sense estudis",129
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Sense estudis",200
2016,2,"Eixample",10,"Sant Antoni","Home","Sense estudis",216
2016,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Sense estudis",291
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Sense estudis",20
2016,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Sense estudis",328
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Sense estudis",92
2016,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Sense estudis",129
2016,3,"Sants-Montjuïc",16,"la Bordeta","Home","Sense estudis",165
2016,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Sense estudis",247
2016,3,"Sants-Montjuïc",18,"Sants","Home","Sense estudis",305
2016,4,"Les Corts",19,"les Corts","Home","Sense estudis",189
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Sense estudis",156
2016,4,"Les Corts",21,"Pedralbes","Home","Sense estudis",11
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Sense estudis",18
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Sense estudis",51
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Sense estudis",13
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Sense estudis",24
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Sense estudis",44
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Sense estudis",53
2016,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Sense estudis",82
2016,6,"Gràcia",29,"el Coll","Home","Sense estudis",61
2016,6,"Gràcia",30,"la Salut","Home","Sense estudis",53
2016,6,"Gràcia",31,"la Vila de Gràcia","Home","Sense estudis",227
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Sense estudis",150
2016,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Sense estudis",202
2016,7,"Horta-Guinardó",34,"Can Baró","Home","Sense estudis",87
2016,7,"Horta-Guinardó",35,"el Guinardó","Home","Sense estudis",252
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Sense estudis",64
2016,7,"Horta-Guinardó",37,"el Carmel","Home","Sense estudis",598
2016,7,"Horta-Guinardó",38,"la Teixonera","Home","Sense estudis",168
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Sense estudis",131
2016,7,"Horta-Guinardó",40,"Montbau","Home","Sense estudis",92
2016,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Sense estudis",44
2016,7,"Horta-Guinardó",42,"la Clota","Home","Sense estudis",10
2016,7,"Horta-Guinardó",43,"Horta","Home","Sense estudis",344
2016,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","Sense estudis",272
2016,8,"Nou Barris",45,"Porta","Home","Sense estudis",416
2016,8,"Nou Barris",46,"el Turó de la Peira","Home","Sense estudis",254
2016,8,"Nou Barris",47,"Can Peguera","Home","Sense estudis",29
2016,8,"Nou Barris",48,"la Guineueta","Home","Sense estudis",201
2016,8,"Nou Barris",49,"Canyelles","Home","Sense estudis",105
2016,8,"Nou Barris",50,"les Roquetes","Home","Sense estudis",260
2016,8,"Nou Barris",51,"Verdun","Home","Sense estudis",224
2016,8,"Nou Barris",52,"la Prosperitat","Home","Sense estudis",543
2016,8,"Nou Barris",53,"la Trinitat Nova","Home","Sense estudis",94
2016,8,"Nou Barris",54,"Torre Baró","Home","Sense estudis",36
2016,8,"Nou Barris",55,"Ciutat Meridiana","Home","Sense estudis",125
2016,8,"Nou Barris",56,"Vallbona","Home","Sense estudis",22
2016,9,"Sant Andreu",57,"la Trinitat Vella","Home","Sense estudis",125
2016,9,"Sant Andreu",58,"Baró de Viver","Home","Sense estudis",21
2016,9,"Sant Andreu",59,"el Bon Pastor","Home","Sense estudis",145
2016,9,"Sant Andreu",60,"Sant Andreu","Home","Sense estudis",437
2016,9,"Sant Andreu",61,"la Sagrera","Home","Sense estudis",225
2016,9,"Sant Andreu",62,"el Congrés i els Indians","Home","Sense estudis",120
2016,9,"Sant Andreu",63,"Navas","Home","Sense estudis",155
2016,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","Sense estudis",249
2016,10,"Sant Martí",65,"el Clot","Home","Sense estudis",173
2016,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","Sense estudis",77
2016,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","Sense estudis",11
2016,10,"Sant Martí",68,"el Poblenou","Home","Sense estudis",219
2016,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","Sense estudis",103
2016,10,"Sant Martí",70,"el Besòs i el Maresme","Home","Sense estudis",375
2016,10,"Sant Martí",71,"Provençals del Poblenou","Home","Sense estudis",183
2016,10,"Sant Martí",72,"Sant Martí de Provençals","Home","Sense estudis",295
2016,10,"Sant Martí",73,"la Verneda i la Pau","Home","Sense estudis",470
2016,1,"Ciutat Vella",1,"el Raval","Home","Estudis primaris / certificat d'escolaritat / EGB",8230
2016,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Estudis primaris / certificat d'escolaritat / EGB",1478
2016,1,"Ciutat Vella",3,"la Barceloneta","Home","Estudis primaris / certificat d'escolaritat / EGB",1680
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Estudis primaris / certificat d'escolaritat / EGB",2013
2016,2,"Eixample",5,"el Fort Pienc","Home","Estudis primaris / certificat d'escolaritat / EGB",1602
2016,2,"Eixample",6,"la Sagrada Família","Home","Estudis primaris / certificat d'escolaritat / EGB",2644
2016,2,"Eixample",7,"la Dreta de l'Eixample","Home","Estudis primaris / certificat d'escolaritat / EGB",1204
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Estudis primaris / certificat d'escolaritat / EGB",1327
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Estudis primaris / certificat d'escolaritat / EGB",2413
2016,2,"Eixample",10,"Sant Antoni","Home","Estudis primaris / certificat d'escolaritat / EGB",2347
2016,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Estudis primaris / certificat d'escolaritat / EGB",4546
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Estudis primaris / certificat d'escolaritat / EGB",208
2016,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Estudis primaris / certificat d'escolaritat / EGB",3456
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Estudis primaris / certificat d'escolaritat / EGB",756
2016,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Estudis primaris / certificat d'escolaritat / EGB",1383
2016,3,"Sants-Montjuïc",16,"la Bordeta","Home","Estudis primaris / certificat d'escolaritat / EGB",1502
2016,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Estudis primaris / certificat d'escolaritat / EGB",2112
2016,3,"Sants-Montjuïc",18,"Sants","Home","Estudis primaris / certificat d'escolaritat / EGB",2941
2016,4,"Les Corts",19,"les Corts","Home","Estudis primaris / certificat d'escolaritat / EGB",1796
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Estudis primaris / certificat d'escolaritat / EGB",1142
2016,4,"Les Corts",21,"Pedralbes","Home","Estudis primaris / certificat d'escolaritat / EGB",175
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Estudis primaris / certificat d'escolaritat / EGB",169
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Estudis primaris / certificat d'escolaritat / EGB",509
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Estudis primaris / certificat d'escolaritat / EGB",193
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Estudis primaris / certificat d'escolaritat / EGB",530
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Estudis primaris / certificat d'escolaritat / EGB",756
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Estudis primaris / certificat d'escolaritat / EGB",555
2016,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Estudis primaris / certificat d'escolaritat / EGB",613
2016,6,"Gràcia",29,"el Coll","Home","Estudis primaris / certificat d'escolaritat / EGB",477
2016,6,"Gràcia",30,"la Salut","Home","Estudis primaris / certificat d'escolaritat / EGB",534
2016,6,"Gràcia",31,"la Vila de Gràcia","Home","Estudis primaris / certificat d'escolaritat / EGB",2365
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Estudis primaris / certificat d'escolaritat / EGB",1397
2016,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Estudis primaris / certificat d'escolaritat / EGB",1391
2016,7,"Horta-Guinardó",34,"Can Baró","Home","Estudis primaris / certificat d'escolaritat / EGB",730
2016,7,"Horta-Guinardó",35,"el Guinardó","Home","Estudis primaris / certificat d'escolaritat / EGB",2185
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Estudis primaris / certificat d'escolaritat / EGB",468
2016,7,"Horta-Guinardó",37,"el Carmel","Home","Estudis primaris / certificat d'escolaritat / EGB",3529
2016,7,"Horta-Guinardó",38,"la Teixonera","Home","Estudis primaris / certificat d'escolaritat / EGB",1170
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Estudis primaris / certificat d'escolaritat / EGB",641
2016,7,"Horta-Guinardó",40,"Montbau","Home","Estudis primaris / certificat d'escolaritat / EGB",342
2016,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Estudis primaris / certificat d'escolaritat / EGB",378
2016,7,"Horta-Guinardó",42,"la Clota","Home","Estudis primaris / certificat d'escolaritat / EGB",59
2016,7,"Horta-Guinardó",43,"Horta","Home","Estudis primaris / certificat d'escolaritat / EGB",2313
2016,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","Estudis primaris / certificat d'escolaritat / EGB",1984
2016,8,"Nou Barris",45,"Porta","Home","Estudis primaris / certificat d'escolaritat / EGB",2426
2016,8,"Nou Barris",46,"el Turó de la Peira","Home","Estudis primaris / certificat d'escolaritat / EGB",1635
2016,8,"Nou Barris",47,"Can Peguera","Home","Estudis primaris / certificat d'escolaritat / EGB",289
2016,8,"Nou Barris",48,"la Guineueta","Home","Estudis primaris / certificat d'escolaritat / EGB",1319
2016,8,"Nou Barris",49,"Canyelles","Home","Estudis primaris / certificat d'escolaritat / EGB",871
2016,8,"Nou Barris",50,"les Roquetes","Home","Estudis primaris / certificat d'escolaritat / EGB",2137
2016,8,"Nou Barris",51,"Verdun","Home","Estudis primaris / certificat d'escolaritat / EGB",1514
2016,8,"Nou Barris",52,"la Prosperitat","Home","Estudis primaris / certificat d'escolaritat / EGB",3044
2016,8,"Nou Barris",53,"la Trinitat Nova","Home","Estudis primaris / certificat d'escolaritat / EGB",987
2016,8,"Nou Barris",54,"Torre Baró","Home","Estudis primaris / certificat d'escolaritat / EGB",433
2016,8,"Nou Barris",55,"Ciutat Meridiana","Home","Estudis primaris / certificat d'escolaritat / EGB",1606
2016,8,"Nou Barris",56,"Vallbona","Home","Estudis primaris / certificat d'escolaritat / EGB",200
2016,9,"Sant Andreu",57,"la Trinitat Vella","Home","Estudis primaris / certificat d'escolaritat / EGB",1608
2016,9,"Sant Andreu",58,"Baró de Viver","Home","Estudis primaris / certificat d'escolaritat / EGB",370
2016,9,"Sant Andreu",59,"el Bon Pastor","Home","Estudis primaris / certificat d'escolaritat / EGB",1520
2016,9,"Sant Andreu",60,"Sant Andreu","Home","Estudis primaris / certificat d'escolaritat / EGB",4132
2016,9,"Sant Andreu",61,"la Sagrera","Home","Estudis primaris / certificat d'escolaritat / EGB",2187
2016,9,"Sant Andreu",62,"el Congrés i els Indians","Home","Estudis primaris / certificat d'escolaritat / EGB",950
2016,9,"Sant Andreu",63,"Navas","Home","Estudis primaris / certificat d'escolaritat / EGB",1463
2016,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","Estudis primaris / certificat d'escolaritat / EGB",2530
2016,10,"Sant Martí",65,"el Clot","Home","Estudis primaris / certificat d'escolaritat / EGB",1925
2016,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","Estudis primaris / certificat d'escolaritat / EGB",981
2016,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","Estudis primaris / certificat d'escolaritat / EGB",236
2016,10,"Sant Martí",68,"el Poblenou","Home","Estudis primaris / certificat d'escolaritat / EGB",2256
2016,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","Estudis primaris / certificat d'escolaritat / EGB",609
2016,10,"Sant Martí",70,"el Besòs i el Maresme","Home","Estudis primaris / certificat d'escolaritat / EGB",3472
2016,10,"Sant Martí",71,"Provençals del Poblenou","Home","Estudis primaris / certificat d'escolaritat / EGB",1691
2016,10,"Sant Martí",72,"Sant Martí de Provençals","Home","Estudis primaris / certificat d'escolaritat / EGB",2353
2016,10,"Sant Martí",73,"la Verneda i la Pau","Home","Estudis primaris / certificat d'escolaritat / EGB",3142
2016,1,"Ciutat Vella",1,"el Raval","Home","Batxillerat elemental / graduat escolar / ESO / FPI",5023
2016,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1377
2016,1,"Ciutat Vella",3,"la Barceloneta","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1752
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1814
2016,2,"Eixample",5,"el Fort Pienc","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2359
2016,2,"Eixample",6,"la Sagrada Família","Home","Batxillerat elemental / graduat escolar / ESO / FPI",4060
2016,2,"Eixample",7,"la Dreta de l'Eixample","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2152
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2354
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Batxillerat elemental / graduat escolar / ESO / FPI",3874
2016,2,"Eixample",10,"Sant Antoni","Home","Batxillerat elemental / graduat escolar / ESO / FPI",3105
2016,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Batxillerat elemental / graduat escolar / ESO / FPI",4300
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Batxillerat elemental / graduat escolar / ESO / FPI",187
2016,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Batxillerat elemental / graduat escolar / ESO / FPI",3663
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Batxillerat elemental / graduat escolar / ESO / FPI",981
2016,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1510
2016,3,"Sants-Montjuïc",16,"la Bordeta","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1989
2016,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2360
2016,3,"Sants-Montjuïc",18,"Sants","Home","Batxillerat elemental / graduat escolar / ESO / FPI",3676
2016,4,"Les Corts",19,"les Corts","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2853
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1678
2016,4,"Les Corts",21,"Pedralbes","Home","Batxillerat elemental / graduat escolar / ESO / FPI",423
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Batxillerat elemental / graduat escolar / ESO / FPI",305
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Batxillerat elemental / graduat escolar / ESO / FPI",996
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Batxillerat elemental / graduat escolar / ESO / FPI",492
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1002
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1693
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1390
2016,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1118
2016,6,"Gràcia",29,"el Coll","Home","Batxillerat elemental / graduat escolar / ESO / FPI",665
2016,6,"Gràcia",30,"la Salut","Home","Batxillerat elemental / graduat escolar / ESO / FPI",879
2016,6,"Gràcia",31,"la Vila de Gràcia","Home","Batxillerat elemental / graduat escolar / ESO / FPI",3305
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2449
2016,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2235
2016,7,"Horta-Guinardó",34,"Can Baró","Home","Batxillerat elemental / graduat escolar / ESO / FPI",933
2016,7,"Horta-Guinardó",35,"el Guinardó","Home","Batxillerat elemental / graduat escolar / ESO / FPI",3337
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Batxillerat elemental / graduat escolar / ESO / FPI",875
2016,7,"Horta-Guinardó",37,"el Carmel","Home","Batxillerat elemental / graduat escolar / ESO / FPI",4334
2016,7,"Horta-Guinardó",38,"la Teixonera","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1489
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Batxillerat elemental / graduat escolar / ESO / FPI",773
2016,7,"Horta-Guinardó",40,"Montbau","Home","Batxillerat elemental / graduat escolar / ESO / FPI",487
2016,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Batxillerat elemental / graduat escolar / ESO / FPI",515
2016,7,"Horta-Guinardó",42,"la Clota","Home","Batxillerat elemental / graduat escolar / ESO / FPI",69
2016,7,"Horta-Guinardó",43,"Horta","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2684
2016,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2751
2016,8,"Nou Barris",45,"Porta","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2900
2016,8,"Nou Barris",46,"el Turó de la Peira","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1775
