"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nivell_academic","Nombre"
2019,1,"Ciutat Vella",1,"el Raval","Home","Sense estudis",203
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Sense estudis",87
2019,1,"Ciutat Vella",3,"la Barceloneta","Home","Sense estudis",117
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Sense estudis",83
2019,2,"Eixample",5,"el Fort Pienc","Home","Sense estudis",110
2019,2,"Eixample",6,"la Sagrada Família","Home","Sense estudis",207
2019,2,"Eixample",7,"la Dreta de l'Eixample","Home","Sense estudis",55
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Sense estudis",89
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Sense estudis",144
2019,2,"Eixample",10,"Sant Antoni","Home","Sense estudis",145
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Sense estudis",197
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Sense estudis",15
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Sense estudis",246
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Sense estudis",65
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Sense estudis",95
2019,3,"Sants-Montjuïc",16,"la Bordeta","Home","Sense estudis",121
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Sense estudis",176
2019,3,"Sants-Montjuïc",18,"Sants","Home","Sense estudis",219
2019,4,"Les Corts",19,"les Corts","Home","Sense estudis",127
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Sense estudis",116
2019,4,"Les Corts",21,"Pedralbes","Home","Sense estudis",8
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Sense estudis",12
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Sense estudis",33
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Sense estudis",6
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Sense estudis",13
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Sense estudis",29
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Sense estudis",35
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Sense estudis",66
2019,6,"Gràcia",29,"el Coll","Home","Sense estudis",43
2019,6,"Gràcia",30,"la Salut","Home","Sense estudis",33
2019,6,"Gràcia",31,"la Vila de Gràcia","Home","Sense estudis",146
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Sense estudis",105
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Sense estudis",146
2019,7,"Horta-Guinardó",34,"Can Baró","Home","Sense estudis",51
2019,7,"Horta-Guinardó",35,"el Guinardó","Home","Sense estudis",181
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Sense estudis",41
2019,7,"Horta-Guinardó",37,"el Carmel","Home","Sense estudis",447
2019,7,"Horta-Guinardó",38,"la Teixonera","Home","Sense estudis",132
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Sense estudis",94
2019,7,"Horta-Guinardó",40,"Montbau","Home","Sense estudis",68
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Sense estudis",33
2019,7,"Horta-Guinardó",42,"la Clota","Home","Sense estudis",7
2019,7,"Horta-Guinardó",43,"Horta","Home","Sense estudis",254
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","Sense estudis",210
2019,8,"Nou Barris",45,"Porta","Home","Sense estudis",315
2019,8,"Nou Barris",46,"el Turó de la Peira","Home","Sense estudis",184
2019,8,"Nou Barris",47,"Can Peguera","Home","Sense estudis",18
2019,8,"Nou Barris",48,"la Guineueta","Home","Sense estudis",152
2019,8,"Nou Barris",49,"Canyelles","Home","Sense estudis",83
2019,8,"Nou Barris",50,"les Roquetes","Home","Sense estudis",183
2019,8,"Nou Barris",51,"Verdun","Home","Sense estudis",160
2019,8,"Nou Barris",52,"la Prosperitat","Home","Sense estudis",401
2019,8,"Nou Barris",53,"la Trinitat Nova","Home","Sense estudis",57
2019,8,"Nou Barris",54,"Torre Baró","Home","Sense estudis",29
2019,8,"Nou Barris",55,"Ciutat Meridiana","Home","Sense estudis",104
2019,8,"Nou Barris",56,"Vallbona","Home","Sense estudis",14
2019,9,"Sant Andreu",57,"la Trinitat Vella","Home","Sense estudis",98
2019,9,"Sant Andreu",58,"Baró de Viver","Home","Sense estudis",21
2019,9,"Sant Andreu",59,"el Bon Pastor","Home","Sense estudis",109
2019,9,"Sant Andreu",60,"Sant Andreu","Home","Sense estudis",313
2019,9,"Sant Andreu",61,"la Sagrera","Home","Sense estudis",176
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Home","Sense estudis",84
2019,9,"Sant Andreu",63,"Navas","Home","Sense estudis",118
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","Sense estudis",183
2019,10,"Sant Martí",65,"el Clot","Home","Sense estudis",124
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","Sense estudis",62
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","Sense estudis",9
2019,10,"Sant Martí",68,"el Poblenou","Home","Sense estudis",146
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","Sense estudis",77
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Home","Sense estudis",295
2019,10,"Sant Martí",71,"Provençals del Poblenou","Home","Sense estudis",138
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Home","Sense estudis",213
2019,10,"Sant Martí",73,"la Verneda i la Pau","Home","Sense estudis",345
2019,1,"Ciutat Vella",1,"el Raval","Home","Estudis primaris / certificat d'escolaritat / EGB",6531
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Estudis primaris / certificat d'escolaritat / EGB",2330
2019,1,"Ciutat Vella",3,"la Barceloneta","Home","Estudis primaris / certificat d'escolaritat / EGB",1443
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Estudis primaris / certificat d'escolaritat / EGB",1789
2019,2,"Eixample",5,"el Fort Pienc","Home","Estudis primaris / certificat d'escolaritat / EGB",1490
2019,2,"Eixample",6,"la Sagrada Família","Home","Estudis primaris / certificat d'escolaritat / EGB",2261
2019,2,"Eixample",7,"la Dreta de l'Eixample","Home","Estudis primaris / certificat d'escolaritat / EGB",1056
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Estudis primaris / certificat d'escolaritat / EGB",1167
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Estudis primaris / certificat d'escolaritat / EGB",2045
2019,2,"Eixample",10,"Sant Antoni","Home","Estudis primaris / certificat d'escolaritat / EGB",1938
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Estudis primaris / certificat d'escolaritat / EGB",3666
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Estudis primaris / certificat d'escolaritat / EGB",195
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Estudis primaris / certificat d'escolaritat / EGB",3164
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Estudis primaris / certificat d'escolaritat / EGB",649
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Estudis primaris / certificat d'escolaritat / EGB",1139
2019,3,"Sants-Montjuïc",16,"la Bordeta","Home","Estudis primaris / certificat d'escolaritat / EGB",1391
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Estudis primaris / certificat d'escolaritat / EGB",1810
2019,3,"Sants-Montjuïc",18,"Sants","Home","Estudis primaris / certificat d'escolaritat / EGB",2678
2019,4,"Les Corts",19,"les Corts","Home","Estudis primaris / certificat d'escolaritat / EGB",1507
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Estudis primaris / certificat d'escolaritat / EGB",983
2019,4,"Les Corts",21,"Pedralbes","Home","Estudis primaris / certificat d'escolaritat / EGB",162
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Estudis primaris / certificat d'escolaritat / EGB",163
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Estudis primaris / certificat d'escolaritat / EGB",508
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Estudis primaris / certificat d'escolaritat / EGB",185
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Estudis primaris / certificat d'escolaritat / EGB",437
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Estudis primaris / certificat d'escolaritat / EGB",591
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Estudis primaris / certificat d'escolaritat / EGB",472
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Estudis primaris / certificat d'escolaritat / EGB",543
2019,6,"Gràcia",29,"el Coll","Home","Estudis primaris / certificat d'escolaritat / EGB",417
2019,6,"Gràcia",30,"la Salut","Home","Estudis primaris / certificat d'escolaritat / EGB",524
2019,6,"Gràcia",31,"la Vila de Gràcia","Home","Estudis primaris / certificat d'escolaritat / EGB",1897
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Estudis primaris / certificat d'escolaritat / EGB",1277
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Estudis primaris / certificat d'escolaritat / EGB",1192
2019,7,"Horta-Guinardó",34,"Can Baró","Home","Estudis primaris / certificat d'escolaritat / EGB",620
2019,7,"Horta-Guinardó",35,"el Guinardó","Home","Estudis primaris / certificat d'escolaritat / EGB",1890
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Estudis primaris / certificat d'escolaritat / EGB",397
2019,7,"Horta-Guinardó",37,"el Carmel","Home","Estudis primaris / certificat d'escolaritat / EGB",3183
2019,7,"Horta-Guinardó",38,"la Teixonera","Home","Estudis primaris / certificat d'escolaritat / EGB",1052
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Estudis primaris / certificat d'escolaritat / EGB",584
2019,7,"Horta-Guinardó",40,"Montbau","Home","Estudis primaris / certificat d'escolaritat / EGB",296
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Estudis primaris / certificat d'escolaritat / EGB",338
2019,7,"Horta-Guinardó",42,"la Clota","Home","Estudis primaris / certificat d'escolaritat / EGB",51
2019,7,"Horta-Guinardó",43,"Horta","Home","Estudis primaris / certificat d'escolaritat / EGB",2086
