year,district_code,district_name,neighborhood_code,neighborhood_name,man_bachelors_degree,man_elementary_school,man_junior_high_school,man_senior_high_school,man_unknown,man_without education,woman_bachelors_degree,woman_elementary_school,woman_junior_high_school,woman_senior_high_school,woman_unknown,woman_without education
2015,1,Ciutat Vella,1,el Raval,4455,9031,4966,3909,5,443,4563,5932,3732,3300,7,880
2015,1,Ciutat Vella,2,el Barri Gòtic,2534,1567,1323,1713,0,124,2721,1170,977,1515,1,268
2015,1,Ciutat Vella,3,la Barceloneta,1560,1782,1726,1438,2,244,1839,1786,1444,1259,1,553
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3480,2225,1807,2263,2,190,4002,2020,1464,2067,5,470
2015,2,Eixample,5,el Fort Pienc,4637,1767,2341,3808,2,290,5462,2490,2690,3655,3,571
2015,2,Eixample,6,la Sagrada Família,6992,2861,4103,6112,4,539,8576,4698,4728,5887,5,1125
2015,2,Eixample,7,la Dreta de l'Eixample,8727,1338,2106,4670,1,279,9882,2345,2716,5113,2,615
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,7884,1452,2352,4845,5,313,8817,2568,2898,5039,3,647
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,9341,2679,3922,7009,7,444,10664,4475,4704,6937,13,953
2015,2,Eixample,10,Sant Antoni,5306,2557,3105,4570,8,361,6046,3598,3397,4159,8,866
2015,3,Sants-Montjuïc,11,el Poble Sec,3685,4893,4265,3985,3,446,4588,5002,3744,3604,3,1025
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,16,227,181,55,0,22,26,231,127,53,0,55
2015,3,Sants-Montjuïc,13,la Marina de Port,1424,3701,3561,3105,2,514,1932,4400,3318,2896,3,951
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,1107,824,979,1227,2,134,1411,1091,1030,1097,4,272
2015,3,Sants-Montjuïc,15,Hostafrancs,1695,1489,1526,1730,1,196,2084,1781,1539,1615,5,334
2015,3,Sants-Montjuïc,16,la Bordeta,1489,1620,1983,2225,6,251,1872,2192,1953,2062,9,510
2015,3,Sants-Montjuïc,17,Sants - Badal,2124,2304,2410,2674,7,351,2690,3039,2486,2515,4,693
2015,3,Sants-Montjuïc,18,Sants,4706,3207,3675,4676,3,485,5961,4154,3722,4396,5,998
2015,4,Les Corts,19,les Corts,7796,1984,2811,5448,7,413,8414,3226,3600,5748,7,812
