neighbourhood,period,airbnb_price(€),n_airbnb_listings,availability_365,airbnb_ratio_business,airbnb_professional_ratio,airbnb_mega_host_ratio
Baró de Viver,2015-07-01,75.0,1,358.0,1.0,0.0,0.0
Baró de Viver,2016-01-01,27.0,1,365.0,0.0,0.0,0.0
Baró de Viver,2017-01-01,90.0,1,2.0,1.0,0.0,0.0
Baró de Viver,2017-04-01,94.75,4,128.25,0.25,0.0,0.0
Baró de Viver,2017-07-01,90.0,1,4.0,1.0,0.0,0.0
Baró de Viver,2017-10-01,57.5,2,189.5,1.0,0.0,0.0
Baró de Viver,2018-01-01,74.14285714285714,7,314.85714285714283,0.2857142857142857,0.0,0.0
Baró de Viver,2018-04-01,74.0,6,337.3333333333333,0.3333333333333333,0.0,0.0
Baró de Viver,2018-07-01,25.0,1,277.0,1.0,0.0,0.0
Baró de Viver,2018-10-01,25.0,1,290.0,1.0,0.0,0.0
Baró de Viver,2019-01-01,22.5,2,132.5,0.5,0.0,0.0
Baró de Viver,2019-04-01,28.333333333333332,3,131.33333333333334,0.3333333333333333,0.0,0.0
Baró de Viver,2019-07-01,25.0,1,225.0,1.0,0.0,0.0
Baró de Viver,2019-10-01,25.0,1,203.0,1.0,0.0,0.0
Baró de Viver,2020-01-01,37.5,2,271.0,0.5,0.0,0.0
Baró de Viver,2020-04-01,25.0,1,278.0,1.0,0.0,0.0
Baró de Viver,2020-07-01,25.0,1,315.0,1.0,0.0,0.0
Baró de Viver,2020-10-01,22.0,1,333.0,1.0,0.0,0.0
Baró de Viver,2021-01-01,50.0,2,179.5,1.0,0.0,0.0
Can Baró,2015-04-01,60.0625,32,316.28125,0.53125,0.0,0.0
Can Baró,2015-07-01,64.64285714285714,42,284.9047619047619,0.5,0.0,0.0
Can Baró,2015-10-01,66.1951219512195,41,309.3414634146341,0.5365853658536586,0.024390243902439025,0.0
Can Baró,2016-01-01,58.130434782608695,46,315.5652173913044,0.5,0.021739130434782608,0.0
Can Baró,2016-10-01,60.075471698113205,53,239.11320754716982,0.5283018867924528,0.03773584905660377,0.0
Can Baró,2017-01-01,61.964285714285715,56,238.03571428571428,0.5535714285714286,0.03571428571428571,0.0
Can Baró,2017-04-01,62.41509433962264,53,221.1509433962264,0.5283018867924528,0.018867924528301886,0.0
Can Baró,2017-07-01,71.81818181818181,55,183.16363636363636,0.5454545454545454,0.01818181818181818,0.0
Can Baró,2017-10-01,75.1875,48,164.97916666666666,0.4375,0.020833333333333332,0.0
Can Baró,2018-01-01,58.471698113207545,53,149.64150943396226,0.4339622641509434,0.018867924528301886,0.0
Can Baró,2018-04-01,62.734693877551024,49,146.44897959183675,0.42857142857142855,0.02040816326530612,0.0
Can Baró,2018-07-01,55.72727272727273,44,190.3181818181818,0.36363636363636365,0.13636363636363635,0.022727272727272728
Can Baró,2018-10-01,59.755102040816325,49,192.71428571428572,0.42857142857142855,0.12244897959183673,0.0
Can Baró,2019-01-01,59.05128205128205,39,197.56410256410257,0.48717948717948717,0.15384615384615385,0.02564102564102564
Can Baró,2019-04-01,64.13636363636364,44,154.79545454545453,0.45454545454545453,0.18181818181818182,0.06818181818181818
Can Baró,2019-07-01,73.52272727272727,44,148.13636363636363,0.5227272727272727,0.18181818181818182,0.06818181818181818
Can Baró,2019-10-01,71.0,43,148.1860465116279,0.5348837209302325,0.18604651162790697,0.06976744186046512
Can Baró,2020-01-01,81.16279069767442,43,154.46511627906978,0.5348837209302325,0.2558139534883721,0.06976744186046512
Can Baró,2020-04-01,68.21052631578948,38,166.23684210526315,0.5263157894736842,0.18421052631578946,0.07894736842105263
Can Baró,2020-07-01,54.108108108108105,37,186.6216216216216,0.4594594594594595,0.10810810810810811,0.02702702702702703
Can Baró,2020-10-01,50.628571428571426,35,152.6,0.4,0.08571428571428572,0.02857142857142857
Can Baró,2021-01-01,58.160493827160494,81,189.1358024691358,0.4444444444444444,0.12345679012345678,0.07407407407407407
Can Peguera,2015-10-01,20.0,1,365.0,0.0,0.0,0.0
