year,district_code,district_name,neighbourhood_code,neighbourhood_name,1 Spanish,1 foreigner,2 Spanish,2 foreigners,3 Spanish,3 foreigners,4 espanyols o més,more than 4 foreigners,no Spanish,no foreigner
2015,1,Ciutat Vella,1,el Raval,6104.0,3066.0,3294.0,1608.0,1588.0,1058.0,1451.0,2229.0,,
2015,1,Ciutat Vella,2,el Barri Gòtic,2373.0,1415.0,1273.0,723.0,570.0,343.0,478.0,435.0,,
2015,1,Ciutat Vella,3,la Barceloneta,2496.0,1236.0,1491.0,638.0,734.0,277.0,585.0,257.0,,
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3812.0,2108.0,1964.0,1029.0,916.0,478.0,692.0,534.0,,
2015,2,Eixample,5,el Fort Pienc,4216.0,1415.0,3426.0,594.0,2189.0,362.0,1765.0,441.0,,
2015,2,Eixample,6,la Sagrada Família,7630.0,2263.0,5958.0,929.0,3490.0,504.0,2874.0,621.0,,
2015,2,Eixample,7,la Dreta de l'Eixample,6379.0,2622.0,4444.0,925.0,2568.0,416.0,2647.0,514.0,,
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,6539.0,2424.0,4535.0,905.0,2573.0,406.0,2409.0,431.0,,
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,8419.0,2519.0,6679.0,994.0,3902.0,502.0,3432.0,654.0,,
2015,2,Eixample,10,Sant Antoni,5946.0,1875.0,4445.0,758.0,2499.0,384.0,1939.0,561.0,,
2015,3,Sants-Montjuïc,11,el Poble Sec,5606.0,2298.0,4049.0,1049.0,2275.0,598.0,1746.0,956.0,,
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,163.0,24.0,103.0,9.0,58.0,4.0,99.0,7.0,,
2015,3,Sants-Montjuïc,13,la Marina de Port,3302.0,779.0,3361.0,371.0,2320.0,202.0,2156.0,362.0,,
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,1438.0,428.0,1179.0,194.0,707.0,98.0,572.0,146.0,,
2015,3,Sants-Montjuïc,15,Hostafrancs,2195.0,724.0,1773.0,342.0,1071.0,160.0,843.0,252.0,,
2015,3,Sants-Montjuïc,16,la Bordeta,2260.0,548.0,2258.0,207.0,1478.0,123.0,1138.0,162.0,,
2015,3,Sants-Montjuïc,17,Sants - Badal,3196.0,836.0,2938.0,330.0,1784.0,200.0,1344.0,331.0,,
2015,3,Sants-Montjuïc,18,Sants,5972.0,1650.0,4800.0,617.0,2798.0,322.0,2361.0,502.0,,
2015,4,Les Corts,19,les Corts,5951.0,1451.0,5324.0,448.0,3343.0,254.0,3328.0,307.0,,
2015,4,Les Corts,20,la Maternitat i Sant Ramon,2778.0,680.0,2808.0,230.0,1834.0,145.0,1735.0,178.0,,
2015,4,Les Corts,21,Pedralbes,1051.0,401.0,1059.0,132.0,722.0,91.0,975.0,167.0,,
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",365.0,182.0,378.0,56.0,289.0,19.0,415.0,54.0,,
2015,5,Sarrià-Sant Gervasi,23,Sarrià,2427.0,883.0,2095.0,213.0,1468.0,140.0,2204.0,200.0,,
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,1379.0,502.0,1332.0,154.0,868.0,51.0,1723.0,80.0,,
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2712.0,926.0,2230.0,224.0,1488.0,103.0,2367.0,154.0,,
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,5887.0,1991.0,4569.0,513.0,2835.0,236.0,3966.0,277.0,,
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,4170.0,1347.0,2941.0,421.0,1844.0,177.0,2206.0,170.0,,
2015,6,Gràcia,28,Vallcarca i els Penitents,2102.0,615.0,1770.0,188.0,1087.0,111.0,1055.0,115.0,,
2015,6,Gràcia,29,el Coll,977.0,306.0,855.0,106.0,545.0,55.0,468.0,64.0,,
2015,6,Gràcia,30,la Salut,1732.0,531.0,1523.0,164.0,901.0,85.0,886.0,80.0,,
2015,6,Gràcia,31,la Vila de Gràcia,8855.0,3087.0,5740.0,1082.0,3092.0,491.0,2569.0,515.0,,
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,5034.0,1323.0,4188.0,470.0,2476.0,203.0,2111.0,244.0,,
2015,7,Horta-Guinardó,33,el Baix Guinardó,3619.0,883.0,3081.0,327.0,1896.0,183.0,1530.0,221.0,,
2015,7,Horta-Guinardó,34,Can Baró,1222.0,329.0,1097.0,116.0,663.0,66.0,548.0,77.0,,
2015,7,Horta-Guinardó,35,el Guinardó,5092.0,1252.0,4442.0,486.0,2658.0,274.0,2170.0,328.0,,
2015,7,Horta-Guinardó,36,la Font d'en Fargues,956.0,176.0,1117.0,55.0,738.0,21.0,803.0,34.0,,
2015,7,Horta-Guinardó,37,el Carmel,3617.0,810.0,3874.0,339.0,2525.0,275.0,1994.0,330.0,,
2015,7,Horta-Guinardó,38,la Teixonera,1387.0,322.0,1473.0,148.0,864.0,90.0,712.0,88.0,,
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,865.0,183.0,892.0,84.0,500.0,44.0,400.0,48.0,,
2015,7,Horta-Guinardó,40,Montbau,745.0,124.0,655.0,40.0,312.0,37.0,298.0,37.0,,
2015,7,Horta-Guinardó,41,la Vall d'Hebron,640.0,104.0,703.0,41.0,460.0,32.0,395.0,34.0,,
2015,7,Horta-Guinardó,42,la Clota,87.0,16.0,82.0,6.0,49.0,2.0,20.0,8.0,,
2015,7,Horta-Guinardó,43,Horta,3190.0,583.0,3193.0,191.0,2008.0,133.0,1878.0,188.0,,
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,3244.0,675.0,3149.0,275.0,1998.0,195.0,1590.0,242.0,,
2015,8,Nou Barris,45,Porta,3237.0,627.0,3234.0,289.0,1884.0,201.0,1316.0,281.0,,
2015,8,Nou Barris,46,el Turó de la Peira,2167.0,497.0,1812.0,238.0,930.0,192.0,850.0,283.0,,
2015,8,Nou Barris,47,Can Peguera,315.0,50.0,271.0,19.0,159.0,6.0,162.0,12.0,,
2015,8,Nou Barris,48,la Guineueta,1715.0,268.0,2023.0,79.0,1233.0,56.0,1052.0,79.0,,
2015,8,Nou Barris,49,Canyelles,705.0,86.0,883.0,31.0,642.0,13.0,529.0,22.0,,
2015,8,Nou Barris,50,les Roquetes,1620.0,437.0,1670.0,231.0,1068.0,165.0,984.0,306.0,,
2015,8,Nou Barris,51,Verdun,1704.0,355.0,1521.0,164.0,843.0,110.0,652.0,194.0,,
2015,8,Nou Barris,52,la Prosperitat,3173.0,585.0,3417.0,286.0,2062.0,204.0,1537.0,312.0,,
2015,8,Nou Barris,53,la Trinitat Nova,945.0,188.0,808.0,92.0,474.0,58.0,455.0,141.0,,
2015,8,Nou Barris,54,Torre Baró,228.0,86.0,229.0,39.0,172.0,33.0,241.0,38.0,,
2015,8,Nou Barris,55,Ciutat Meridiana,933.0,321.0,1037.0,166.0,602.0,152.0,573.0,308.0,,
2015,8,Nou Barris,56,Vallbona,148.0,31.0,116.0,16.0,90.0,11.0,100.0,13.0,,
2015,9,Sant Andreu,57,la Trinitat Vella,885.0,339.0,916.0,202.0,627.0,129.0,613.0,294.0,,
