year,district_code,district_name,neighbourhood_code,neighbourhood_name,population
2015,9,Sant Andreu,58,Baró de Viver,2482
2015,7,Horta-Guinardó,34,Can Baró,8938
2015,8,Nou Barris,47,Can Peguera,2267
2015,8,Nou Barris,49,Canyelles,6946
2015,8,Nou Barris,55,Ciutat Meridiana,10156
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,13352
2015,7,Horta-Guinardó,43,Horta,26624
2015,3,Sants-Montjuïc,15,Hostafrancs,15812
2015,7,Horta-Guinardó,40,Montbau,5070
2015,9,Sant Andreu,63,Navas,22110
2015,99,No consta,99,No consta,1
2015,4,Les Corts,21,Pedralbes,11763
2015,8,Nou Barris,45,Porta,24536
2015,10,Sant Martí,71,Provençals del Poblenou,20244
2015,9,Sant Andreu,60,Sant Andreu,56682
2015,2,Eixample,10,Sant Antoni,38248
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,6693
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,46968
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,25511
2015,10,Sant Martí,72,Sant Martí de Provençals,26005
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",22305
2015,3,Sants-Montjuïc,18,Sants,40889
2015,3,Sants-Montjuïc,17,Sants - Badal,24085
2015,5,Sarrià-Sant Gervasi,23,Sarrià,24614
2015,8,Nou Barris,54,Torre Baró,2828
2015,8,Nou Barris,56,Vallbona,1351
2015,6,Gràcia,28,Vallcarca i els Penitents,15508
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4635
2015,8,Nou Barris,51,Verdun,12258
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,25499
2015,7,Horta-Guinardó,33,el Baix Guinardó,25476
2015,1,Ciutat Vella,2,el Barri Gòtic,15269
2015,10,Sant Martí,70,el Besòs i el Maresme,23026
2015,9,Sant Andreu,59,el Bon Pastor,12655
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,34047
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,38202
2015,7,Horta-Guinardó,37,el Carmel,31498
2015,10,Sant Martí,65,el Clot,27013
