year,district_code,district_name,neighbourhood_code,neighbourhood_name,From 6 months to 12 motnhs,Over 12 months,Up to 6 months
2015,1,Ciutat Vella,1,el Raval,7562,18642,22445
2015,1,Ciutat Vella,2,el Barri Gòtic,1986,5139,5855
2015,1,Ciutat Vella,3,la Barceloneta,2128,6088,6212
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",2949,8425,8625
2015,2,Eixample,5,el Fort Pienc,2848,8666,7607
2015,2,Eixample,6,la Sagrada Família,4771,13846,12701
2015,2,Eixample,7,la Dreta de l'Eixample,3281,8368,8941
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,3659,8605,10333
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,5292,13599,14571
2015,2,Eixample,10,Sant Antoni,3855,9391,10841
2015,3,Sants-Montjuïc,11,el Poble Sec,5593,14091,15667
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,270,720,772
2015,3,Sants-Montjuïc,13,la Marina de Port,3905,11962,10485
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,1402,3581,3919
2015,3,Sants-Montjuïc,15,Hostafrancs,1654,4669,4565
2015,3,Sants-Montjuïc,16,la Bordeta,1941,5479,5355
2015,3,Sants-Montjuïc,17,Sants - Badal,2203,6419,5814
2015,3,Sants-Montjuïc,18,Sants,4066,11584,11010
2015,4,Les Corts,19,les Corts,4205,11674,11290
2015,4,Les Corts,20,la Maternitat i Sant Ramon,2178,6347,5749
2015,4,Les Corts,21,Pedralbes,582,1196,1476
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",238,505,593
2015,5,Sarrià-Sant Gervasi,23,Sarrià,1251,2600,3160
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,924,1964,2308
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1418,3671,3686
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,2750,6352,7244
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,2398,5864,6809
2015,6,Gràcia,28,Vallcarca i els Penitents,1484,3857,4298
2015,6,Gràcia,29,el Coll,627,1600,1837
2015,6,Gràcia,30,la Salut,1191,3261,3479
2015,6,Gràcia,31,la Vila de Gràcia,4850,11698,14667
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,3118,8481,8632
2015,7,Horta-Guinardó,33,el Baix Guinardó,2397,6640,6573
2015,7,Horta-Guinardó,34,Can Baró,847,2339,2480
2015,7,Horta-Guinardó,35,el Guinardó,3710,11521,9907
2015,7,Horta-Guinardó,36,la Font d'en Fargues,1103,3529,3011
2015,7,Horta-Guinardó,37,el Carmel,3769,11973,10298
2015,7,Horta-Guinardó,38,la Teixonera,1183,3421,3194
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,725,2021,1944
2015,7,Horta-Guinardó,40,Montbau,524,1462,1408
2015,7,Horta-Guinardó,41,la Vall d'Hebron,557,1560,1500
2015,7,Horta-Guinardó,42,la Clota,38,109,103
2015,7,Horta-Guinardó,43,Horta,3209,10024,8587
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,2993,9304,8073
2015,8,Nou Barris,45,Porta,2857,8962,8134
2015,8,Nou Barris,46,el Turó de la Peira,1880,5824,4938
2015,8,Nou Barris,47,Can Peguera,261,800,702
2015,8,Nou Barris,48,la Guineueta,2086,6238,5953
2015,8,Nou Barris,49,Canyelles,1018,3044,2902
2015,8,Nou Barris,50,les Roquetes,2206,6601,6296
2015,8,Nou Barris,51,Verdun,1690,5060,4827
2015,8,Nou Barris,52,la Prosperitat,3218,10098,9157
2015,8,Nou Barris,53,la Trinitat Nova,1512,4292,4192
2015,8,Nou Barris,54,Torre Baró,419,1183,1158
2015,8,Nou Barris,55,Ciutat Meridiana,2188,6172,6050
2015,8,Nou Barris,56,Vallbona,254,716,703
2015,9,Sant Andreu,57,la Trinitat Vella,2026,5721,5605
2015,9,Sant Andreu,58,Baró de Viver,277,901,724
2015,9,Sant Andreu,59,el Bon Pastor,1569,5132,4113
2015,9,Sant Andreu,60,Sant Andreu,6329,20781,16623
2015,9,Sant Andreu,61,la Sagrera,3043,9335,7768
2015,9,Sant Andreu,62,el Congrés i els Indians,1481,4546,3781
2015,9,Sant Andreu,63,Navas,2277,6982,5834
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,4409,12396,11434
2015,10,Sant Martí,65,el Clot,3008,8708,7641
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1458,4211,3688
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,970,2562,2541
2015,10,Sant Martí,68,el Poblenou,3335,8939,8684
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1574,4354,4248
2015,10,Sant Martí,70,el Besòs i el Maresme,3589,10043,9691
2015,10,Sant Martí,71,Provençals del Poblenou,2277,7056,6023
2015,10,Sant Martí,72,Sant Martí de Provençals,3016,10066,8199
2015,10,Sant Martí,73,la Verneda i la Pau,3395,11420,9274
2015,99,No consta,99,No consta,9,20,7
2016,1,Ciutat Vella,1,el Raval,6455,16602,20797
2016,1,Ciutat Vella,2,el Barri Gòtic,1555,4200,5384
2016,1,Ciutat Vella,3,la Barceloneta,1836,5485,5911
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",2563,7550,8191
2016,2,Eixample,5,el Fort Pienc,2415,6947,6957
2016,2,Eixample,6,la Sagrada Família,4096,11413,11829
2016,2,Eixample,7,la Dreta de l'Eixample,2930,7130,8180
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,3150,7536,8978
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,4658,11647,13263
2016,2,Eixample,10,Sant Antoni,3310,8030,9961
2016,3,Sants-Montjuïc,11,el Poble Sec,4664,11830,14601
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,258,607,713
2016,3,Sants-Montjuïc,13,la Marina de Port,3430,10148,9810
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,1175,3011,3650
2016,3,Sants-Montjuïc,15,Hostafrancs,1409,3939,4296
2016,3,Sants-Montjuïc,16,la Bordeta,1653,4619,5042
2016,3,Sants-Montjuïc,17,Sants - Badal,1835,5312,5240
2016,3,Sants-Montjuïc,18,Sants,3451,9704,10163
2016,4,Les Corts,19,les Corts,3642,9867,10285
2016,4,Les Corts,20,la Maternitat i Sant Ramon,1818,5247,5182
2016,4,Les Corts,21,Pedralbes,469,1036,1300
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",198,442,521
2016,5,Sarrià-Sant Gervasi,23,Sarrià,1022,2265,2768
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,773,1722,2025
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1248,2971,3610
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,2395,5444,6446
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,2194,4900,6010
2016,6,Gràcia,28,Vallcarca i els Penitents,1302,3184,3732
2016,6,Gràcia,29,el Coll,549,1316,1577
2016,6,Gràcia,30,la Salut,1041,2620,3189
2016,6,Gràcia,31,la Vila de Gràcia,4244,9819,13375
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,2743,7042,8033
2016,7,Horta-Guinardó,33,el Baix Guinardó,2087,5523,6161
2016,7,Horta-Guinardó,34,Can Baró,741,1876,2286
2016,7,Horta-Guinardó,35,el Guinardó,3240,9667,9421
2016,7,Horta-Guinardó,36,la Font d'en Fargues,961,3026,2771
2016,7,Horta-Guinardó,37,el Carmel,3277,10271,9452
2016,7,Horta-Guinardó,38,la Teixonera,1046,2927,2900
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,641,1730,1758
2016,7,Horta-Guinardó,40,Montbau,463,1250,1274
2016,7,Horta-Guinardó,41,la Vall d'Hebron,495,1333,1356
2016,7,Horta-Guinardó,42,la Clota,36,91,92
2016,7,Horta-Guinardó,43,Horta,2725,8563,7988
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,2546,7900,7510
2016,8,Nou Barris,45,Porta,2549,7574,7421
2016,8,Nou Barris,46,el Turó de la Peira,1560,4966,4639
2016,8,Nou Barris,47,Can Peguera,223,680,653
2016,8,Nou Barris,48,la Guineueta,1893,5317,5433
2016,8,Nou Barris,49,Canyelles,924,2593,2651
2016,8,Nou Barris,50,les Roquetes,2003,5624,5749
2016,8,Nou Barris,51,Verdun,1536,4308,4408
2016,8,Nou Barris,52,la Prosperitat,2874,8534,8357
2016,8,Nou Barris,53,la Trinitat Nova,1350,3694,3842
2016,8,Nou Barris,54,Torre Baró,374,1019,1063
2016,8,Nou Barris,55,Ciutat Meridiana,1950,5324,5538
2016,8,Nou Barris,56,Vallbona,225,617,645
2016,9,Sant Andreu,57,la Trinitat Vella,1807,4934,5134
2016,9,Sant Andreu,58,Baró de Viver,234,753,677
2016,9,Sant Andreu,59,el Bon Pastor,1331,4280,3849
2016,9,Sant Andreu,60,Sant Andreu,5389,17286,15567
2016,9,Sant Andreu,61,la Sagrera,2565,7743,7396
2016,9,Sant Andreu,62,el Congrés i els Indians,1248,3768,3601
2016,9,Sant Andreu,63,Navas,1927,5792,5560
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,3814,10391,10759
2016,10,Sant Martí,65,el Clot,2570,7460,7156
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1253,3669,3434
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,872,2233,2365
2016,10,Sant Martí,68,el Poblenou,2979,7787,8083
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1297,3696,3770
2016,10,Sant Martí,70,el Besòs i el Maresme,2955,8523,8595
2016,10,Sant Martí,71,Provençals del Poblenou,1980,6091,5515
