"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Dona","Espanya",11405
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Espanya",4141
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","Espanya",4730
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Espanya",6468
2020,2,"Eixample",5,"el Fort Pienc","Dona","Espanya",12900
2020,2,"Eixample",6,"la Sagrada Família","Dona","Espanya",21704
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Espanya",17792
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Espanya",17370
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Espanya",24871
2020,2,"Eixample",10,"Sant Antoni","Dona","Espanya",15542
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Espanya",13815
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Espanya",513
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Espanya",13436
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Espanya",4340
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Espanya",6354
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Espanya",8745
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Espanya",10571
2020,3,"Sants-Montjuïc",18,"Sants","Dona","Espanya",17924
2020,4,"Les Corts",19,"les Corts","Dona","Espanya",21633
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Espanya",11085
2020,4,"Les Corts",21,"Pedralbes","Dona","Espanya",5161
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Espanya",1995
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Espanya",11592
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Espanya",7887
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Espanya",12226
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Espanya",22569
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Espanya",13885
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Espanya",7221
2020,6,"Gràcia",29,"el Coll","Dona","Espanya",3330
2020,6,"Gràcia",30,"la Salut","Dona","Espanya",6165
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","Espanya",21332
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Espanya",15973
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","Espanya",11868
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","Espanya",4066
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","Espanya",16585
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","Espanya",4565
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","Espanya",13981
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","Espanya",5097
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","Espanya",3287
2020,7,"Horta-Guinardó",40,"Montbau","Dona","Espanya",2437
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","Espanya",2806
2020,7,"Horta-Guinardó",42,"la Clota","Dona","Espanya",302
2020,7,"Horta-Guinardó",43,"Horta","Dona","Espanya",12719
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Espanya",11921
2020,8,"Nou Barris",45,"Porta","Dona","Espanya",11360
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","Espanya",6618
2020,8,"Nou Barris",47,"Can Peguera","Dona","Espanya",1045
2020,8,"Nou Barris",48,"la Guineueta","Dona","Espanya",7363
2020,8,"Nou Barris",49,"Canyelles","Dona","Espanya",3368
2020,8,"Nou Barris",50,"les Roquetes","Dona","Espanya",6415
2020,8,"Nou Barris",51,"Verdun","Dona","Espanya",5267
2020,8,"Nou Barris",52,"la Prosperitat","Dona","Espanya",11835
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","Espanya",3078
2020,8,"Nou Barris",54,"Torre Baró","Dona","Espanya",1182
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","Espanya",3862
2020,8,"Nou Barris",56,"Vallbona","Dona","Espanya",615
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","Espanya",3608
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","Espanya",1143
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","Espanya",5518
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","Espanya",27940
2020,9,"Sant Andreu",61,"la Sagrera","Dona","Espanya",13281
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","Espanya",6581
2020,9,"Sant Andreu",63,"Navas","Dona","Espanya",9974
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","Espanya",16667
2020,10,"Sant Martí",65,"el Clot","Dona","Espanya",11747
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","Espanya",6357
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","Espanya",3861
2020,10,"Sant Martí",68,"el Poblenou","Dona","Espanya",14080
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","Espanya",5538
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","Espanya",8582
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","Espanya",9292
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","Espanya",11918
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","Espanya",12958
2020,1,"Ciutat Vella",1,"el Raval","Dona","Itàlia",881
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Itàlia",615
