year,quarter,district_code,district_name,neighbourhood_code,neighbourhood_name,price_month(€),price_m2_month(€),From 6 months to 12 motnhs,Over 12 months,Up to 6 months,1 Spanish,1 foreigner,2 Spanish,2 foreigners,3 Spanish,3 foreigners,4 espanyols o més,more than 4 foreigners,man_bachelors_degree,man_elementary_school,man_junior_high_school,man_senior_high_school,man_unknown,man_without education,woman_bachelors_degree,woman_elementary_school,woman_junior_high_school,woman_senior_high_school,woman_unknown,woman_without education,airbnb_price(€),n_airbnb_listings,availability_365,airbnb_ratio_business,airbnb_professional_ratio,airbnb_mega_host_ratio
2015.0,2015-01-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",697.16,11.51,2949.0,8425.0,8625.0,3812.0,2108.0,1964.0,1029.0,916.0,478.0,692.0,534.0,3480.0,2225.0,1807.0,2263.0,2.0,190.0,4002.0,2020.0,1464.0,2067.0,5.0,470.0,,,,,,
2015.0,2015-04-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",708.03,12.02,2949.0,8425.0,8625.0,3812.0,2108.0,1964.0,1029.0,916.0,478.0,692.0,534.0,3480.0,2225.0,1807.0,2263.0,2.0,190.0,4002.0,2020.0,1464.0,2067.0,5.0,470.0,73.34330011074195,903.0,262.921373200443,0.6312292358803987,0.12846068660022147,0.016611295681063124
2015.0,2015-07-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",729.0,14.0,2949.0,8425.0,8625.0,3812.0,2108.0,1964.0,1029.0,916.0,478.0,692.0,534.0,3480.0,2225.0,1807.0,2263.0,2.0,190.0,4002.0,2020.0,1464.0,2067.0,5.0,470.0,75.12477558348293,1114.0,259.64183123877916,0.6077199281867145,0.10682226211849193,0.002692998204667864
2015.0,2015-10-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",751.6,13.43,2949.0,8425.0,8625.0,3812.0,2108.0,1964.0,1029.0,916.0,478.0,692.0,534.0,3480.0,2225.0,1807.0,2263.0,2.0,190.0,4002.0,2020.0,1464.0,2067.0,5.0,470.0,72.41044104410442,1111.0,271.6291629162916,0.5805580558055805,0.0675067506750675,0.0018001800180018
2016.0,2016-01-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",759.16,12.94,2563.0,7550.0,8191.0,3790.0,2215.0,1944.0,1036.0,896.0,495.0,694.0,547.0,3530.0,2013.0,1814.0,2346.0,135.0,120.0,4043.0,1881.0,1509.0,2196.0,121.0,376.0,72.7399193548387,992.0,260.63911290322585,0.561491935483871,0.07358870967741936,0.0
2016.0,2016-04-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",773.62,14.09,2563.0,7550.0,8191.0,3790.0,2215.0,1944.0,1036.0,896.0,495.0,694.0,547.0,3530.0,2013.0,1814.0,2346.0,135.0,120.0,4043.0,1881.0,1509.0,2196.0,121.0,376.0,,,,,,
2016.0,2016-07-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",839.58,14.41,2563.0,7550.0,8191.0,3790.0,2215.0,1944.0,1036.0,896.0,495.0,694.0,547.0,3530.0,2013.0,1814.0,2346.0,135.0,120.0,4043.0,1881.0,1509.0,2196.0,121.0,376.0,,,,,,
2016.0,2016-10-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",854.18,14.8,2563.0,7550.0,8191.0,3790.0,2215.0,1944.0,1036.0,896.0,495.0,694.0,547.0,3530.0,2013.0,1814.0,2346.0,135.0,120.0,4043.0,1881.0,1509.0,2196.0,121.0,376.0,79.54495412844037,1090.0,213.88990825688077,0.5348623853211009,0.0853211009174312,0.0027522935779816515
2017.0,2017-01-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",895.28,15.01,2351.0,6107.0,8238.0,3794.0,2332.0,1911.0,1167.0,877.0,536.0,690.0,559.0,3806.0,1871.0,1919.0,2371.0,123.0,104.0,4366.0,1792.0,1592.0,2173.0,113.0,327.0,79.78122151321787,1097.0,201.98176845943482,0.5305378304466728,0.08386508659981769,0.008204193254329991
2017.0,2017-04-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",930.13,15.99,2351.0,6107.0,8238.0,3794.0,2332.0,1911.0,1167.0,877.0,536.0,690.0,559.0,3806.0,1871.0,1919.0,2371.0,123.0,104.0,4366.0,1792.0,1592.0,2173.0,113.0,327.0,85.94139886578449,1058.0,165.97826086956522,0.5217391304347826,0.09924385633270323,0.030245746691871456
2017.0,2017-07-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",927.16,16.16,2351.0,6107.0,8238.0,3794.0,2332.0,1911.0,1167.0,877.0,536.0,690.0,559.0,3806.0,1871.0,1919.0,2371.0,123.0,104.0,4366.0,1792.0,1592.0,2173.0,113.0,327.0,87.29698149951315,1027.0,159.4313534566699,0.4888023369036028,0.08081791626095422,0.026290165530671858
2017.0,2017-10-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",914.78,15.66,2351.0,6107.0,8238.0,3794.0,2332.0,1911.0,1167.0,877.0,536.0,690.0,559.0,3806.0,1871.0,1919.0,2371.0,123.0,104.0,4366.0,1792.0,1592.0,2173.0,113.0,327.0,82.64600938967136,1065.0,166.59154929577466,0.4469483568075117,0.04788732394366197,0.02535211267605634
2018.0,2018-01-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",923.44,14.68,2373.0,5415.0,8082.0,3791.0,2432.0,1822.0,1262.0,850.0,508.0,662.0,510.0,3830.0,1830.0,1926.0,2267.0,127.0,93.0,4414.0,1685.0,1601.0,2127.0,100.0,292.0,78.50784313725491,1020.0,164.03529411764706,0.45,0.06568627450980392,0.032352941176470584
2018.0,2018-04-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",991.39,15.09,2373.0,5415.0,8082.0,3791.0,2432.0,1822.0,1262.0,850.0,508.0,662.0,510.0,3830.0,1830.0,1926.0,2267.0,127.0,93.0,4414.0,1685.0,1601.0,2127.0,100.0,292.0,81.1994076999013,1013.0,151.2309970384995,0.43632773938795655,0.08390918065153011,0.03455083909180652
2018.0,2018-07-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",970.97,15.12,2373.0,5415.0,8082.0,3791.0,2432.0,1822.0,1262.0,850.0,508.0,662.0,510.0,3830.0,1830.0,1926.0,2267.0,127.0,93.0,4414.0,1685.0,1601.0,2127.0,100.0,292.0,79.09271523178808,906.0,155.22295805739515,0.3167770419426049,0.10816777041942603,0.03642384105960265
2018.0,2018-10-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",1000.52,15.2,2373.0,5415.0,8082.0,3791.0,2432.0,1822.0,1262.0,850.0,508.0,662.0,510.0,3830.0,1830.0,1926.0,2267.0,127.0,93.0,4414.0,1685.0,1601.0,2127.0,100.0,292.0,82.21421709894331,1041.0,185.6330451488953,0.4390009606147935,0.21133525456292027,0.054755043227665716
2019.0,2019-01-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",990.2,14.7,2435.0,5250.0,7978.0,3722.0,2460.0,1774.0,1375.0,834.0,539.0,648.0,590.0,4067.0,1789.0,1944.0,2414.0,155.0,83.0,4658.0,1611.0,1614.0,2184.0,111.0,261.0,81.466791393826,1069.0,192.34424695977552,0.5144995322731525,0.2853133769878391,0.0832553788587465
2019.0,2019-04-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",1010.1,15.5,2435.0,5250.0,7978.0,3722.0,2460.0,1774.0,1375.0,834.0,539.0,648.0,590.0,4067.0,1789.0,1944.0,2414.0,155.0,83.0,4658.0,1611.0,1614.0,2184.0,111.0,261.0,74.19010669253153,1031.0,174.32880698351116,0.5198836081474297,0.27449078564500484,0.09699321047526673
2019.0,2019-07-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",1020.2,15.7,2435.0,5250.0,7978.0,3722.0,2460.0,1774.0,1375.0,834.0,539.0,648.0,590.0,4067.0,1789.0,1944.0,2414.0,155.0,83.0,4658.0,1611.0,1614.0,2184.0,111.0,261.0,85.90008613264428,1161.0,173.42721791558998,0.5193798449612403,0.2558139534883721,0.08957795004306633
2019.0,2019-10-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",966.4,14.8,2435.0,5250.0,7978.0,3722.0,2460.0,1774.0,1375.0,834.0,539.0,648.0,590.0,4067.0,1789.0,1944.0,2414.0,155.0,83.0,4658.0,1611.0,1614.0,2184.0,111.0,261.0,81.69670152855994,1243.0,175.03378921962994,0.49798873692678997,0.25341914722445696,0.08769106999195495
2020.0,2020-01-01,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",1030.0,14.9,5193.0,6475.0,9086.0,3653.0,2496.0,1739.0,1392.0,829.0,565.0,636.0,619.0,4092.0,1700.0,2020.0,2475.0,123.0,72.0,4736.0,1566.0,1634.0,2215.0,118.0,223.0,84.23203125,1280.0,181.58984375,0.5078125,0.26171875,0.0921875
