"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Lloguer_mitja","Preu"
2015,"1",1,"Ciutat Vella",1,"el Raval","Lloguer mitjà mensual (Euros/mes)",601.31
2015,"1",1,"Ciutat Vella",2,"el Barri Gòtic","Lloguer mitjà mensual (Euros/mes)",756.68
2015,"1",1,"Ciutat Vella",3,"la Barceloneta","Lloguer mitjà mensual (Euros/mes)",581.34
2015,"1",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Lloguer mitjà mensual (Euros/mes)",697.16
2015,"1",2,"Eixample",5,"el Fort Pienc","Lloguer mitjà mensual (Euros/mes)",753.76
2015,"1",2,"Eixample",6,"la Sagrada Família","Lloguer mitjà mensual (Euros/mes)",679.03
2015,"1",2,"Eixample",7,"la Dreta de l'Eixample","Lloguer mitjà mensual (Euros/mes)",957.55
2015,"1",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Lloguer mitjà mensual (Euros/mes)",859.64
2015,"1",2,"Eixample",9,"la Nova Esquerra de l'Eixample","Lloguer mitjà mensual (Euros/mes)",766.18
2015,"1",2,"Eixample",10,"Sant Antoni","Lloguer mitjà mensual (Euros/mes)",740.41
2015,"1",3,"Sants-Montjuïc",11,"el Poble Sec","Lloguer mitjà mensual (Euros/mes)",578.76
2015,"1",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Lloguer mitjà mensual (Euros/mes)",NA
2015,"1",3,"Sants-Montjuïc",13,"la Marina de Port","Lloguer mitjà mensual (Euros/mes)",492.49
2015,"1",3,"Sants-Montjuïc",14,"la Font de la Guatlla","Lloguer mitjà mensual (Euros/mes)",728.25
2015,"1",3,"Sants-Montjuïc",15,"Hostafrancs","Lloguer mitjà mensual (Euros/mes)",614.15
2015,"1",3,"Sants-Montjuïc",16,"la Bordeta","Lloguer mitjà mensual (Euros/mes)",621.71
2015,"1",3,"Sants-Montjuïc",17,"Sants - Badal","Lloguer mitjà mensual (Euros/mes)",606.48
2015,"1",3,"Sants-Montjuïc",18,"Sants","Lloguer mitjà mensual (Euros/mes)",616.05
2015,"1",4,"Les Corts",19,"les Corts","Lloguer mitjà mensual (Euros/mes)",822.36
2015,"1",4,"Les Corts",20,"la Maternitat i Sant Ramon","Lloguer mitjà mensual (Euros/mes)",727.99
2015,"1",4,"Les Corts",21,"Pedralbes","Lloguer mitjà mensual (Euros/mes)",1250.83
